Asset ID,Parent Asset ID,Asset Level,System,Area,Asset Name,Tag / KKS,Registration Code,Asset Type,Discipline,Criticality,Status,Review Note
AST-CM-HPH-003,,MAIN_ASSET,ESP & Flue Gas Cleaning,ESP,HOPPER HEATER NO.3 (HH1-3 JB1),RTB-HPH-003,,Electrical Equipment,Electrical,MEDIUM,IN_SERVICE,Added from production CM history with user approval
AST-CM-TRC-001,,MAIN_ASSET,ESP & Flue Gas Cleaning,ESP,TRCC-1,RTB-TRC-001,,Electrical Equipment,Electrical,MEDIUM,IN_SERVICE,Added from production CM history with user approval
